_RowType_,_chk,GAESUL_YEAR,GAESUL_TERM,CAMPUS_GB,CAMPUS_NM,HAKWI_NAME,JUKYONGHAKWI_GB,GRADE_NAME,ISU_NAME,HAKSU_NO,BUNBAN,HAKSU_NO_BUNBAN,GWAMOK_NAME,GWAMOK_ENG_NAME,HAKJUM,PER_NAME,PER_ID,GYOSI_NAME,HYUNGTAE,BIGO,SUUP_TYPE_CD,SUUP_TYPE_NM,BOKSUJUNGONG_YN_NAME,ABEEK_YN,ISU_NAME2,ISU_NAME3,HAKBU_JIBJUNG_GB,HAKBU_JIBJUNG_GB_NM,LECTURE_PLAN_TYPE,ABK_PROGRAM,INTRO_URL,INFORM
N,0,2026,20,2,자연과학,학사/석사,04,,전공(대학원),AIM4003,41,AIM4003-41,자연어처리개론,Natural Language Processing Fundamentals,3(3),정윤경,151333,"【모듈D】화15:00-16:15【미지정】,화16:30-17:45【미지정】",일반수업,플립러닝으로 수업진행_6모듈D_후반 8주 집중수업 진행,33,플립러닝(온라인[사전제작]+오프라인),,,전공(대학원),,N,해당없음,1,,,*6모듈강좌(모듈D)
N,0,2026,20,2,자연과학,학사,01,,전공심화,CSE3036,41,CSE3036-41,컴퓨터공학세미나,Seminar in Computer Engineering,1(2),이종욱,227703,"월15:00-15:50【미지정】,수17:00-17:50【미지정】",국제어수업,,,,,,전공일반,전공심화,N,해당없음,5,,,
N,0,2026,20,2,자연과학,학사/석사,04,,전공(대학원),ECE4249,41,ECE4249-41,컴퓨터비전,Computer Vision,3(3),이준호,197019,"화12:00-13:15【미지정】,화13:30-14:45【미지정】",일반수업,,,,,,전공(대학원),,N,해당없음,1,,,
N,0,2026,20,2,자연과학,학사,01,,전공기반,EEE2008,41,EEE2008-41,신호및시스템,Signals and Systems,3(3),김상효,213427,"화09:00-10:15【미지정】,목10:30-11:45【미지정】",국제어수업,,,,,,전공일반,전공심화,N,해당없음,5,,,
N,0,2026,20,2,자연과학,학사,01,,전공심화,EEE3011,41,EEE3011-41,디지털신호처리,Digital Signal Processing,3(3),김중규,192022,"화12:00-13:15【미지정】,목13:30-14:45【미지정】",일반수업,,,,,,전공일반,전공심화,N,해당없음,5,,,
N,0,2026,20,2,자연과학,학사,01,,전공심화,EEE3024,41,EEE3024-41,제어공학기초,Introduction to Automatic Control,3(3),박종구,195037,"월13:30-14:45【미지정】,수12:00-13:15【미지정】",일반수업,,31,오프라인,,,전공일반,전공심화,N,해당없음,5,,,강의저장
N,0,2026,20,2,자연과학,학사,01,,전공심화,EEE3032,41,EEE3032-41,통신시스템,Communication Systems,3(3),김상효,213427,"월10:30-11:45【미지정】,수09:00-10:15【미지정】",일반수업,,,,,,전공일반,전공심화,N,해당없음,5,,,
N,0,2026,20,2,자연과학,학사,01,,전공기반,EME2009,41,EME2009-41,동역학,Dynamics,3(3),문형필,213795,"화13:30-14:45【미지정】,목12:00-13:15【미지정】",일반수업,,31,오프라인,,,전공일반,전공심화,N,해당없음,5,,,강의저장
N,0,2026,20,2,자연과학,학사,01,,전공기반,EME2009,42,EME2009-42,동역학,Dynamics,3(3),김규남,239835,"화16:30-17:45【미지정】,목15:00-16:15【미지정】",일반수업,,,,,,전공일반,전공심화,N,해당없음,5,,,
N,0,2026,20,2,자연과학,학사,01,,전공심화,EME3022,41,EME3022-41,계측공학,Measurement Engineering,3(3),석지원,222394,"화09:00-10:15【미지정】,목10:30-11:45【미지정】",국제어수업,,31,오프라인,,,전공일반,전공심화,N,해당없음,5,,,"GNP, 강의저장"
N,0,2026,20,2,자연과학,학사,01,,전공기반,ERC2008,41,ERC2008-41,기술경영개론,Introduction to Management of Technology,3(3),조근태,191664,"금15:00-16:15【미지정】,금16:30-17:45【미지정】",일반수업,,,,복수전공 이수과목,,전공일반,전공심화,N,해당없음,5,,,
N,0,2026,20,2,자연과학,학사,01,,전공기반,ERC2008,42,ERC2008-42,기술경영개론,Introduction to Management of Technology,3(3),조근태,191664,"금12:00-13:15【미지정】,금13:30-14:45【미지정】",일반수업,,,,복수전공 이수과목,,전공일반,전공심화,N,해당없음,5,,,
N,0,2026,20,2,자연과학,학사,01,,전공기반,ERC2008,43,ERC2008-43,기술경영개론,Introduction to Management of Technology,3(3),신준석,213426,월13:30-14:45【미지정】【1.5h(ON)+1.5h(OFF)】,일반수업,,33,플립러닝(온라인[사전제작]+오프라인),복수전공 이수과목,,전공일반,전공심화,N,해당없음,5,,,*플립러닝:1.5h(ON)+1.5h(OFF)
N,0,2026,20,2,자연과학,학사,01,,전공심화,ESM3019,41,ESM3019-41,생산관리,Operations Management,3(3),권대일,233312,월10:30-11:45【미지정】【1.5h(ON)+1.5h(OFF)】,국제어수업,,33,플립러닝(온라인[사전제작]+오프라인),,,전공일반,전공심화,N,해당없음,5,,,*플립러닝:1.5h(ON)+1.5h(OFF)
N,0,2026,20,2,자연과학,학사,01,,전공심화,ESM3056,41,ESM3056-41,CAD/제품정보관리및실습,CAD/Product Data Management,3(3),노상도,203210,"화09:00-09:50【미지정】,화10:00-10:50【미지정】【1h(ON)+2h(OFF)】",국제어수업,,33,플립러닝(온라인[사전제작]+오프라인),,,전공일반,전공심화,N,해당없음,5,,,*플립러닝:1h(ON)+2h(OFF)
N,0,2026,20,2,자연과학,학사,01,,전공심화,ESM3061,41,ESM3061-41,데이터마이닝,Data Mining,3(3),이수지,241979,"화13:30-14:45【미지정】,목12:00-13:15【미지정】",일반수업,,32,온라인[사전제작],복수전공 이수과목,,전공일반,전공심화,N,해당없음,5,,,
N,0,2026,20,2,자연과학,학사/석사,04,,전공(대학원),ESW4006,41,ESW4006-41,정보시각화,Information Visualization,3(3),조재민,235372,목13:30-14:45【미지정】【1.5h(ON)+1.5h(OFF)】,일반수업,,33,플립러닝(온라인[사전제작]+오프라인),,,전공(대학원),,N,해당없음,1,,,"강의저장, *플립러닝:1.5h(ON)+1.5h(OFF)"
N,0,2026,20,2,자연과학,학사/석사,04,,전공(대학원),ESW4007,41,ESW4007-41,컴파일러와언어원론,Principles of Compilers and Programming Languages,3(3),한환수,214970,"목12:00-13:15【미지정】,목13:30-14:45【미지정】",일반수업,,31,오프라인,,,전공(대학원),,N,해당없음,1,,,
N,0,2026,20,2,자연과학,학사/석사,04,,전공(대학원),ESW4012,41,ESW4012-41,공격관점보안,Offensive Security,3(3),황성재,237066,"월15:00-16:15【미지정】,수16:30-17:45【미지정】",일반수업,,31,오프라인,,,전공(대학원),,N,해당없음,1,,,
N,0,2026,20,2,자연과학,학사/석사,04,,전공(대학원),ESW4014,41,ESW4014-41,강화학습개론,Principles of Reinforcement Learning,3(3),김유성,218789,"화16:30-17:45【미지정】,목15:00-16:15【미지정】",일반수업,,31,오프라인,,,전공(대학원),,N,해당없음,1,,,
N,0,2026,20,2,자연과학,학사/석사,04,,전공(대학원),ESW4028,41,ESW4028-41,생성형인공지능특론,Advanced Topics in Generative Artificial Intelligence,3(3),이선재,244084,"월12:00-13:15【미지정】,월13:30-14:45【미지정】",국제어수업,,34,PBL(온라인[사전제작]+오프라인),,,전공(대학원),,N,해당없음,1,,,강의저장
N,0,2026,20,2,자연과학,학사/석사/박사,06,,전공(대학원),ESW7007,41,ESW7007-41,머신러닝을위한시스템,Systems for Machine Learning,3(3),조형민,233170,"수15:00-16:15【미지정】,수16:30-17:45【미지정】",일반수업,,31,오프라인,,,전공(대학원),,N,해당없음,1,,,
N,0,2026,20,2,자연과학,학사,01,,전공기반,ICE2001,41,ICE2001-41,논리회로,Logic Circuits,3(3),국태용,195027,"화12:00-13:15【미지정】,목13:30-14:45【미지정】",일반수업,,31,오프라인,,,전공일반,전공심화,N,해당없음,5,,,
N,0,2026,20,2,자연과학,학사,01,,전공기반,ICE2001,42,ICE2001-42,논리회로,Logic Circuits,3(3),조건희,243790,"화10:30-11:45【미지정】,목09:00-10:15【미지정】",일반수업,반도체융합공학과 전용반,,,,,전공일반,전공심화,N,해당없음,5,,,
N,0,2026,20,2,자연과학,학사,01,,전공심화,ICE3014,41,ICE3014-41,멀티미디어공학,Multimedia Engineering,3(3),전병우,197304,수12:00-13:15【미지정】【1.5h(ON)+1.5h(OFF)】,국제어수업,,33,플립러닝(온라인[사전제작]+오프라인),,,전공일반,전공심화,N,해당없음,5,,,"강의저장, *플립러닝:1.5h(ON)+1.5h(OFF)"
N,0,2026,20,2,자연과학,학사,01,,전공기반,ICE3015,41,ICE3015-41,수치해석,Numerical Analysis,3(3),나완수,195013,"화16:30-17:45【미지정】,목15:00-16:15【미지정】",일반수업,,31,오프라인,,,전공일반,전공심화,N,해당없음,5,,,강의저장
N,0,2026,20,2,자연과학,학사,01,,전공심화,ICE3024,41,ICE3024-41,디지털시스템,Digital Systems,3(4),임완수,242006,"금12:00-13:15【미지정】,금13:30-14:45【미지정】【1h(ON)+3h(OFF)[4시간]】",일반수업,,33,플립러닝(온라인[사전제작]+오프라인),,,전공일반,전공심화,N,해당없음,5,,,"강의저장, *플립러닝:1h(ON)+3h(OFF)[4시간]"
N,0,2026,20,2,자연과학,학사,01,,전공심화,ICE3024,42,ICE3024-42,디지털시스템,Digital Systems,3(4),임완수,242006,"금15:00-16:15【미지정】,금16:30-17:45【미지정】【1h(ON)+3h(OFF)[4시간]】",일반수업,,33,플립러닝(온라인[사전제작]+오프라인),,,전공일반,전공심화,N,해당없음,5,,,"강의저장, *플립러닝:1h(ON)+3h(OFF)[4시간]"
N,0,2026,20,2,자연과학,학사,01,,실험실습,ICE3029,41,ICE3029-41,마이크로프로세서실험,MicroProcessor Laboratory,2(4),비탈리파노프,233506,"목09:00-09:50【미지정】,목10:00-10:50【미지정】,목11:00-11:50【미지정】,목12:00-12:50【미지정】",국제어수업,,,,,,실험실습,실험실습,N,해당없음,5,,,
N,0,2026,20,2,자연과학,학사,01,,전공심화,ICE3037,41,ICE3037-41,종합설계프로젝트,Capstone Design,3(3),유현승,246184,"월18:00-19:15【미지정】,월19:30-20:45【미지정】",일반수업,전자전기공학부 전용반,31,오프라인,,,전공일반,전공심화,N,해당없음,5,,,
N,0,2026,20,2,자연과학,학사,01,,전공심화,ICE3037,42,ICE3037-42,종합설계프로젝트,Capstone Design,3(3),임완수,242006,"화18:00-19:15【미지정】,화19:30-20:45【미지정】",일반수업,전자전기공학부 전용반,31,오프라인,,,전공일반,전공심화,N,해당없음,5,,,
N,0,2026,20,2,자연과학,학사,01,,전공심화,ICE3037,43,ICE3037-43,종합설계프로젝트,Capstone Design,3(3),이강윤,219830,"목18:00-19:15【미지정】,목19:30-20:45【미지정】",일반수업,전자전기공학부 전용반,,,,,전공일반,전공심화,N,해당없음,5,,,
N,0,2026,20,2,자연과학,학사,01,,전공심화,ICE3043,41,ICE3043-41,스마트카공학개론,Introduction to Smart Car Engineering,3(3),전재욱,194020,"금09:00-10:15【미지정】,금10:30-11:45【미지정】",일반수업,팀 티칭 강의,31,오프라인,,,전공일반,전공심화,N,해당없음,5,,,
N,0,2026,20,2,자연과학,학사,01,,전공심화,ICE3045,41,ICE3045-41,기계학습개론,Introduction to Machine Learning,3(3),전일용,237648,"월12:00-13:15【미지정】,수13:30-14:45【미지정】",일반수업,,,,,,전공일반,전공심화,N,해당없음,5,,,
N,0,2026,20,2,자연과학,학사,01,,전공심화,ICE3051,41,ICE3051-41,자율주행캡스톤디자인,Autonomous driving capstone design,3(3),전재욱,194020,"금15:00-16:15【미지정】,금16:30-17:45【미지정】",일반수업,사전수강신청 불가/미래형자동차 마이크로디그리 교과/수강관련 사업단 문의,34,PBL(온라인[사전제작]+오프라인),,,전공일반,전공심화,N,해당없음,5,,,
N,0,2026,20,2,자연과학,학사,01,,전공심화,ICE3052,41,ICE3052-41,자율주행인공지능및제어,Autonomous driving using artificial intelligence and control,3(3),권민혜,245953,화13:30-14:45【미지정】【1.5h(ON)+1.5h(OFF)】,일반수업,,33,플립러닝(온라인[사전제작]+오프라인),,,전공일반,전공심화,N,해당없음,5,,,*플립러닝:1.5h(ON)+1.5h(OFF)
N,0,2026,20,2,자연과학,학사,01,,전공심화,ISW3001,41,ISW3001-41,양자컴퓨팅개론,Introduction to Quantum Computing and Systems,3(3),민동문,243219,"월10:30-11:45【미지정】,수09:00-10:15【미지정】",일반수업,지능형SW + SW학과 전용반,,,,,전공일반,전공심화,N,해당없음,1,,,
N,0,2026,20,2,자연과학,학사,01,,전공심화,ISW3006,41,ISW3006-41,인공지능세미나,Artificial Intelligence Seminar,3(3),서의성,219544,"월16:30-17:45【미지정】,수15:00-16:15【미지정】",일반수업,지능형SW + SW학과 전용반,,,,,전공일반,전공심화,N,해당없음,1,,,
N,0,2026,20,2,자연과학,학사/석사,04,,전공(대학원),SEE4002,41,SEE4002-41,인공지능반도체공정기술,Artificial Intelligence Semiconductor Process Technology,3(3),신원준,243175,"목12:00-13:15【미지정】,목13:30-14:45【미지정】",일반수업,인공지능반도체메모리소자(ECE4286)과목과 중복 이수를 금지함.,31,오프라인,,,전공(대학원),,N,해당없음,1,,,강의저장
N,0,2026,20,2,자연과학,학사/석사,04,,전공(대학원),SEE4003,41,SEE4003-41,인공지능반도체소자시뮬레이션,AI Semiconductor Device Simulation,3(3),전종욱,241185,"수09:00-10:15【미지정】,수10:30-11:45【미지정】",일반수업,,31,오프라인,,,전공(대학원),,N,해당없음,1,,,
N,0,2026,20,2,자연과학,학사/석사,04,,전공(대학원),SFC4002,41,SFC4002-41,스마트팩토리캡스톤디자인2,Smart Factory Capstone Design 2,3(3),정종필,209977,"화18:00-19:15【미지정】,화19:30-20:45【미지정】",일반수업,,34,PBL(온라인[사전제작]+오프라인),,,전공(대학원),,N,해당없음,1,,,
N,0,2026,20,2,자연과학,학사,01,,전공기반,SWE2001,41,SWE2001-41,시스템프로그램,System Program,3(3),엄영익,193024,목15:00-16:15【미지정】【1.5h(ON)+1.5h(OFF)】,일반수업,,33,플립러닝(온라인[사전제작]+오프라인),,,전공핵심,전공코어,N,해당없음,5,,,*플립러닝:1.5h(ON)+1.5h(OFF)
N,0,2026,20,2,자연과학,학사,01,,전공기반,SWE2001,42,SWE2001-42,시스템프로그램,System Program,3(3),이선재,244084,목16:30-17:45【미지정】【1.5h(ON)+1.5h(OFF)】,국제어수업,,33,플립러닝(온라인[사전제작]+오프라인),,,전공핵심,전공코어,N,해당없음,5,,,"강의저장, *플립러닝:1.5h(ON)+1.5h(OFF)"
N,0,2026,20,2,자연과학,학사,01,,전공기반,SWE2001,43,SWE2001-43,시스템프로그램,System Program,3(3),서의성,219544,"화15:00-16:15【미지정】,목16:30-17:45【미지정】",일반수업,지능형소프트웨어학과 전용반,,,,,전공핵심,전공코어,N,해당없음,5,,,
N,0,2026,20,2,자연과학,학사,01,,전공기반,SWE2015,41,SWE2015-41,자료구조개론,Data Structures,3(3),이한국,241998,"월10:30-11:45【미지정】,수09:00-10:15【미지정】",국제어수업,,31,오프라인,,,전공핵심,전공코어,N,해당없음,5,,,
N,0,2026,20,2,자연과학,학사,01,,전공기반,SWE2015,42,SWE2015-42,자료구조개론,Data Structures,3(3),차수영,237057,목10:30-11:45【미지정】【1.5h(ON)+1.5h(OFF)】,일반수업,,33,플립러닝(온라인[사전제작]+오프라인),,,전공핵심,전공코어,N,해당없음,5,,,*플립러닝:1.5h(ON)+1.5h(OFF)
N,0,2026,20,2,자연과학,학사,01,,전공기반,SWE2015,43,SWE2015-43,자료구조개론,Data Structures,3(3),이한국,241998,"월09:00-10:15【미지정】,수10:30-11:45【미지정】",일반수업,,31,오프라인,,,전공핵심,전공코어,N,해당없음,5,,,
N,0,2026,20,2,자연과학,학사,01,,전공기반,SWE2015,44,SWE2015-44,자료구조개론,Data Structures,3(3),이한국,241998,"월12:00-13:15【미지정】,수13:30-14:45【미지정】",일반수업,지능형소프트웨어학과 전용반,31,오프라인,,,전공핵심,전공코어,N,해당없음,5,,,
N,0,2026,20,2,자연과학,학사,01,,전공기반,SWE2016,41,SWE2016-41,알고리즘개론,Algorithms,3(3),추현승,198024,월10:30-11:45【미지정】【1.5h(ON)+1.5h(OFF)】,국제어수업,소프트/컴퓨터공학과 반제          ,33,플립러닝(온라인[사전제작]+오프라인),,,전공핵심,전공코어,N,해당없음,5,,,*플립러닝:1.5h(ON)+1.5h(OFF)
N,0,2026,20,2,자연과학,학사,01,,전공기반,SWE2016,42,SWE2016-42,알고리즘개론,Algorithms,3(3),김형식,221399,"월10:30-11:45【미지정】,수09:00-10:15【미지정】",일반수업,복수전공생 및 재학생 전용       ,,,,,전공핵심,전공코어,N,해당없음,5,,,
N,0,2026,20,2,자연과학,학사,01,,전공기반,SWE2016,43,SWE2016-43,알고리즘개론,Algorithms,3(3),허재필,228493,월13:30-14:45【미지정】【1.5h(ON)+1.5h(OFF)】,일반수업,"지능형소프트웨어학과 전용반 /1,2학년 합반",33,플립러닝(온라인[사전제작]+오프라인),,,전공핵심,전공코어,N,해당없음,5,,,*플립러닝:1.5h(ON)+1.5h(OFF)
N,0,2026,20,2,자연과학,학사,01,,실험실습,SWE2021,41,SWE2021-41,오픈소스소프트웨어실습,Open Source Software Practice,2(4),박진영,235368,"수18:00-18:50【미지정】,수19:00-19:50【미지정】,수20:00-20:50【미지정】,수21:00-21:45【미지정】",국제어수업,,31,오프라인,,,실험실습,실험실습,N,해당없음,5,,,
N,0,2026,20,2,자연과학,학사,01,,실험실습,SWE2024,41,SWE2024-41,시스템프로그래밍실습,System Programming Lab,2(4),한환수,214970,"화18:00-18:50【미지정】,화19:00-19:50【미지정】,화20:00-20:50【미지정】,화21:00-21:45【미지정】",일반수업,,31,오프라인,,,실험실습,실험실습,N,해당없음,5,,,강의저장
N,0,2026,20,2,자연과학,학사,01,,전공,SWE2026,41,SWE2026-41,문제해결,Problem Solving Techniques,3(3),조재민,235372,수15:00-16:15【미지정】【1.5h(ON)+1.5h(OFF)】,국제어수업,,33,플립러닝(온라인[사전제작]+오프라인),,,전공일반,전공심화,N,해당없음,5,,,"강의저장, *플립러닝:1.5h(ON)+1.5h(OFF)"
N,0,2026,20,2,자연과학,학사,01,,전공심화,SWE2028,41,SWE2028-41,산학협력프로젝트,Industry-Academy Cooperation Project,1(0),우홍욱,229343,미지정,일반수업,,,,,,전공일반,전공심화,N,해당없음,1,,,
N,0,2026,20,2,자연과학,학사,01,,전공심화,SWE2029,41,SWE2029-41,소프트웨어전공탐색,Computer Science and Engineering Exploration Seminar,2(2),이종욱,227703,"월18:00-18:50【미지정】,월19:00-19:50【미지정】",국제어수업,수강대상: 1학년(타 학년 수강 불가),,,,,전공일반,전공심화,N,해당없음,1,,,
N,0,2026,20,2,자연과학,학사,01,,전공기반,SWE3002,41,SWE3002-41,소프트웨어공학개론,Introduction to Software Engineering,3(3),이은석,195034,"금15:00-16:15【미지정】,금16:30-17:45【미지정】",일반수업,,,,,,전공핵심,전공코어,N,해당없음,5,,,
N,0,2026,20,2,자연과학,학사,01,,전공기반,SWE3002,42,SWE3002-42,소프트웨어공학개론,Introduction to Software Engineering,3(3),차수영,237057,"월09:00-10:15【미지정】,수10:30-11:45【미지정】",국제어수업,,32,온라인[사전제작],,,전공핵심,전공코어,N,해당없음,5,,,
N,0,2026,20,2,자연과학,학사,01,,전공기반,SWE3003,41,SWE3003-41,데이터베이스개론,Introduction to Database,3(3),남범석,230171,"화16:30-17:45【미지정】,목15:00-16:15【미지정】",국제어수업,1만라인프로젝트,,,,,전공핵심,전공코어,N,해당없음,5,,,
N,0,2026,20,2,자연과학,학사,01,,전공기반,SWE3003,42,SWE3003-42,데이터베이스개론,Introduction to Database,3(3),남범석,230171,"화13:30-14:45【미지정】,목12:00-13:15【미지정】",일반수업,지능형소프트웨어학과 전용반,,,,,전공핵심,전공코어,N,해당없음,5,,,
N,0,2026,20,2,자연과학,학사,01,,전공기반,SWE3004,41,SWE3004-41,운영체제,Operating Systems,3(3),신동군,212720,목13:30-14:45【미지정】【1.5h(ON)+1.5h(OFF)】,국제어수업,1만라인프로젝트,33,플립러닝(온라인[사전제작]+오프라인),,,전공핵심,전공코어,N,해당없음,5,,,*플립러닝:1.5h(ON)+1.5h(OFF)
N,0,2026,20,2,자연과학,학사,01,,전공기반,SWE3005,41,SWE3005-41,컴퓨터구조개론,Introduction to Computer Architectures,3(3),조형민,233170,"월13:30-14:45【미지정】,수12:00-13:15【미지정】",국제어수업,복수전공생 및 재학생 전용/1만라인프로젝트,31,오프라인,,,전공핵심,전공코어,N,해당없음,5,,,강의저장
N,0,2026,20,2,자연과학,학사,01,,전공기반,SWE3005,42,SWE3005-42,컴퓨터구조개론,Introduction to Computer Architectures,3(3),신동군,212720,목09:00-10:15【미지정】【1.5h(ON)+1.5h(OFF)】,일반수업,"소프트/컴퓨터공학과 반제, 1만라인프로젝트",33,플립러닝(온라인[사전제작]+오프라인),,,전공핵심,전공코어,N,해당없음,5,,,*플립러닝:1.5h(ON)+1.5h(OFF)
N,0,2026,20,2,자연과학,학사,01,,전공기반,SWE3006,41,SWE3006-41,프로그래밍언어,Programming Languages,3(3),황성재,237066,목16:30-17:45【미지정】【1.5h(ON)+1.5h(OFF)】,국제어수업,1만라인프로젝트,33,플립러닝(온라인[사전제작]+오프라인),,,전공핵심,전공코어,N,해당없음,5,,,"강의저장, *플립러닝:1.5h(ON)+1.5h(OFF)"
N,0,2026,20,2,자연과학,학사,01,,전공기반,SWE3006,42,SWE3006-42,프로그래밍언어,Programming Languages,3(3),아에스아부하메드타메르,233346,화10:30-11:45【미지정】【1.5h(ON)+1.5h(OFF)】,국제어수업,1만라인프로젝트,33,플립러닝(온라인[사전제작]+오프라인),,,전공핵심,전공코어,N,해당없음,5,,,*플립러닝:1.5h(ON)+1.5h(OFF)
N,0,2026,20,2,자연과학,학사,01,,전공심화,SWE3008,41,SWE3008-41,컴퓨터그래픽스개론,Introduction to Computer Graphics,3(3),이성길,218321,화16:30-17:45【미지정】【1.5h(ON)+1.5h(OFF)】,국제어수업,,33,플립러닝(온라인[사전제작]+오프라인),,,전공일반,전공심화,N,해당없음,5,,,*플립러닝:1.5h(ON)+1.5h(OFF)
N,0,2026,20,2,자연과학,학사,01,,전공심화,SWE3011,41,SWE3011-41,인공지능개론,Introduction to Artificial Intelligence,3(3),박진영,235368,수13:30-14:45【미지정】【1.5h(ON)+1.5h(OFF)】,국제어수업,,33,플립러닝(온라인[사전제작]+오프라인),,,전공일반,전공코어,N,해당없음,5,,,*플립러닝:1.5h(ON)+1.5h(OFF)
N,0,2026,20,2,자연과학,학사,01,,전공심화,SWE3011,42,SWE3011-42,인공지능개론,Introduction to Artificial Intelligence,3(3),정윤경,151333,"【모듈C】금12:00-13:15【미지정】,금13:30-14:45【미지정】",일반수업,,33,플립러닝(온라인[사전제작]+오프라인),,,전공일반,전공코어,N,해당없음,5,,,*6모듈강좌(모듈C)
N,0,2026,20,2,자연과학,학사,01,,전공심화,SWE3021,41,SWE3021-41,멀티코어컴퓨팅,Multicore Computing,3(3),민동문,243219,"화12:00-13:15【미지정】,목13:30-14:45【미지정】",일반수업,,,,,,전공일반,전공심화,N,해당없음,5,,,
N,0,2026,20,2,자연과학,학사,01,,전공심화,SWE3022,41,SWE3022-41,컴퓨터네트웍개론,Computer Networks,3(3),구형준,235946,수15:00-16:15【미지정】【1.5h(ON)+1.5h(OFF)】,국제어수업,복수전공생 및 재학생 전용,33,플립러닝(온라인[사전제작]+오프라인),,,전공핵심,전공코어,N,해당없음,5,,,"강의저장, *플립러닝:1.5h(ON)+1.5h(OFF)"
N,0,2026,20,2,자연과학,학사,01,,전공심화,SWE3022,42,SWE3022-42,컴퓨터네트웍개론,Computer Networks,3(3),김유성,218789,"화13:30-14:45【미지정】,목12:00-13:15【미지정】",일반수업,소프트/컴퓨터공학과 반제,31,오프라인,,,전공핵심,전공코어,N,해당없음,5,,,
N,0,2026,20,2,자연과학,학사,01,,전공심화,SWE3025,41,SWE3025-41,정보보호개론,Computer Security,3(3),최형기,207580,"월13:30-14:45【미지정】,수12:00-13:15【미지정】",일반수업,,,,,,전공일반,전공심화,N,해당없음,5,,,
N,0,2026,20,2,자연과학,학사,01,,전공기반,SWE3026,41,SWE3026-41,확률과랜덤프로세스,Probability and Random Process,3(3),박진영,235368,수10:30-11:45【미지정】【1.5h(ON)+1.5h(OFF)】,국제어수업,지능형소프트웨어학과 전용반,33,플립러닝(온라인[사전제작]+오프라인),,,전공일반,전공심화,N,해당없음,5,,,*플립러닝:1.5h(ON)+1.5h(OFF)
N,0,2026,20,2,자연과학,학사,01,,전공심화,SWE3028,41,SWE3028-41,캡스톤설계프로젝트,Capstone Design Project,3(3),아에스아부하메드타메르,233346,"금12:00-13:15【미지정】,금13:30-14:45【미지정】",국제어수업,,31,오프라인,,,전공일반,전공심화,N,해당없음,1,,,
N,0,2026,20,2,자연과학,학사,01,,실험실습,SWE3032,41,SWE3032-41,인공지능프로젝트,Artificial Intelligence Project,2(4),우홍욱,229343,"화18:00-18:50【미지정】,화19:00-19:50【미지정】,화20:00-20:50【미지정】,화21:00-21:45【미지정】",일반수업,,,,,,실험실습,실험실습,N,해당없음,5,,,
N,0,2026,20,2,자연과학,학사,01,,실험실습,SWE3033,41,SWE3033-41,데이터베이스프로젝트,Database Project,2(4),이종욱,227703,"수18:00-18:50【미지정】,수19:00-19:50【미지정】,수20:00-20:50【미지정】,수21:00-21:45【미지정】",국제어수업,,,,,,실험실습,실험실습,N,해당없음,5,,,
N,0,2026,20,2,자연과학,학사,01,,전공심화,SWE3050,41,SWE3050-41,기계학습원론,Fundamentals of machine learning,3(3),이종욱,227703,"월13:30-14:45【미지정】,수12:00-13:15【미지정】",일반수업,,,,,,전공일반,전공코어,N,해당없음,5,,,
N,0,2026,20,2,자연과학,학사,01,,전공심화,SWE3050,42,SWE3050-42,기계학습원론,Fundamentals of machine learning,3(3),이지형,204248,"월10:30-11:45【미지정】,수09:00-10:15【미지정】",국제어수업,,,,,,전공일반,전공코어,N,해당없음,5,,,
N,0,2026,20,2,자연과학,학사,01,,전공심화,SWE3051,41,SWE3051-41,컴퓨터비전개론,Introduction to Computer Vision,3(3),허재필,228493,월12:00-13:15【미지정】【1.5h(ON)+1.5h(OFF)】,일반수업,,33,플립러닝(온라인[사전제작]+오프라인),,,전공일반,전공심화,N,해당없음,5,,,*플립러닝:1.5h(ON)+1.5h(OFF)
N,0,2026,20,2,자연과학,학사,01,,전공심화,SWE3052,41,SWE3052-41,심층신경망개론,Introduction to Deep Neural Networks,3(3),아에스아부하메드타메르,233346,목10:30-11:45【미지정】【1.5h(ON)+1.5h(OFF)】,국제어수업,,33,플립러닝(온라인[사전제작]+오프라인),,,전공일반,전공심화,N,해당없음,1,,,*플립러닝:1.5h(ON)+1.5h(OFF)
N,0,2026,20,2,자연과학,학사,01,,전공심화,SWE3052,42,SWE3052-42,심층신경망개론,Introduction to Deep Neural Networks,3(3),이한국,241998,"월15:00-16:15【미지정】,수16:30-17:45【미지정】",일반수업,지능형소프트웨어학과 전용반,31,오프라인,,,전공일반,전공심화,N,해당없음,1,,,
N,0,2026,20,2,자연과학,학사,01,,전공,SWE3053,41,SWE3053-41,HCI개론,Introduction to Human Computer Interaction,3(3),조재민,235372,수10:30-11:45【미지정】【1.5h(ON)+1.5h(OFF)】,일반수업,,33,플립러닝(온라인[사전제작]+오프라인),,,전공일반,전공심화,N,해당없음,5,,,"강의저장, *플립러닝:1.5h(ON)+1.5h(OFF)"
